"Year","Human","Meat"
1961,3091843507,71362169
1962,3150420795,74654264
1963,3211001009,78830480
1964,3273978338,80414414
1965,3339583597,84465228
1966,3407922630,88129575
1967,3478769962,92268694
1968,3551599127,95209630
1969,3625680627,96981068
1970,3700437046,100669144
1971,3775759617,104832550
1972,3851650245,107778961
1973,3927780238,108542087
1974,4003794172,114039095
1975,4079480606,115820268
1976,4154666864,118704716
1977,4229506060,122614594
1978,4304533501,127501337
1979,4380506100,132735348
1980,4458003514,136738269
1981,4536996762,139364094
1982,4617386542,140662104
1983,4699569304,145313846
1984,4784011621,149438648
1985,4870921740,154493243
1986,4960567912,159156452
1987,5052522147,164889372
1988,5145426008,171087100
1989,5237441558,173667526
1990,5327231061,179492556
1991,5414289444,184495098
1992,5498919809,188296866
1993,5581597546,193319677
1994,5663150427,199875755
1995,5744212979,209424959
1996,5824891951,207353824
1997,5905045788,216370698
1998,5984793942,224596242
1999,6064239055,231051512
2000,6143493823,233440887
2001,6222626606,236725096
2002,6301773188,243677478
2003,6381185114,248927663
2004,6461159389,254650106
2005,6541907027,260471710
2006,6623517833,266503190
2007,6705946610,272745189
2008,6789088686,281574938
2009,6872767093,286845462
2010,6956823603,294619190
2011,7041194301,299273657
2012,7125828059,307287366
2013,7210581976,314224806
2014,7295290765,319799867
2015,7379797139,325427235
2016,7464022049,329322389
2017,7547858925,334837475
2018,7631091040,342396020
